ID,Jobs_Name,Rating,Job_City,Company_Founded_Year,Type_Of_Ownership,Industry,Sector,Hourly_Salary,Employer_Provided_Salary,Salary_Lower,Salary_Upper,Salary_Avg,Company_Name,Job_State,Company_Age,Python,Spark,AWS,Excel,SQL,SAS,Keras,PyTorch,Scikit-learn,TensorFlow,Hadoop,Tableau,Power BI,Flink,MongoDB,Google Analytics,Job_Title_Sim,Seniority_Level,Employee_Degree,Ownership_Category
22,Data Scientist - Quantitative,3.8,Chicago,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,0,0,86000,139000,112500.0,Truckstop.com,Illinois,26,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,Data Scientist,Not Specified,Masters,Corporate
23,Data Scientist,4.3,Louisville,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,0,0,63000,105000,84000.0,SMC 3,Kentucky,86,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,Not Specified,Masters,Nonprofit
25,Data Scientist,4.0,Herndon,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,109000,177000,143000.0,Novetta,Virginia,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
26,Digital Health Data Scientist,4.0,Cambridge,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,63000,110000,86500.0,Pfizer,Massachusetts,172,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
27,Data Scientist,3.5,Hillsboro,1952,Company - Private,Banks & Credit Unions,Finance,0,0,75000,124000,99500.0,First Tech Federal Credit Union,Oregon,69,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
28,Associate Data Analyst,3.7,Worcester,1852,Company - Public,Insurance Carriers,Insurance,0,0,34000,61000,47500.0,The Hanover Insurance Group,Massachusetts,169,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst,Not Specified,Not Specified,Corporate
29,Clinical Data Scientist,4.0,Groton,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,63000,105000,84000.0,Pfizer,Connecticut,172,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
32,Data Scientist,3.6,Detroit,1997,Company - Private,Real Estate,Real Estate,0,0,72000,120000,96000.0,Amrock,Michigan,24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
33,Data Scientist / Machine Learning Expert,3.8,Cambridge,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,86000,143000,114500.0,Novartis,Massachusetts,25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
34,Data Scientist,3.8,Sunnyvale,1996,Company - Public,Telecommunications Services,Telecommunications,0,0,93000,149000,121000.0,Juniper Networks,California,25,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,Data Scientist,Not Specified,Masters,Corporate
35,Data Scientist,4.7,Ipswich,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,85000,140000,112500.0,New England Biolabs,Massachusetts,47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
36,Web Data Analyst,4.2,San Jose,2008,Company - Private,IT Services,Information Technology,0,0,77000,135000,106000.0,Clarity Insights,California,13,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,Data Analyst,Not Specified,Not Specified,Corporate
37,Data Scientist,3.5,Redlands,1969,Company - Private,Computer Hardware & Software,Information Technology,0,0,82000,132000,107000.0,Esri,California,52,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,Data Scientist,Not Specified,Masters,Corporate
38,Data Scientist,4.7,Woburn,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,83000,137000,110000.0,Systems & Technology Research,Massachusetts,11,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,Data Scientist,Not Specified,PhD,Corporate
39,Senior Data Scientist,3.5,Fremont,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,115000,180000,147500.0,Sartorius,California,151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Senior,Masters,Corporate
40,Data Engineer,3.5,Long Beach,1985,Company - Private,Insurance Carriers,Insurance,0,0,74000,138000,106000.0,Lancer Insurance,New York,36,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Masters,Corporate
41,Data Analyst,4.2,San Francisco,2008,Company - Private,IT Services,Information Technology,0,0,64000,112000,88000.0,Sauce Labs,California,13,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,Data Analyst,Not Specified,Not Specified,Corporate
43,Data Engineer,3.6,Marlborough,,Company - Private,Unknown / Non-Applicable,Unknown / Non-Applicable,0,0,68000,129000,98500.0,Persivia,Massachusetts,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Not Specified,Corporate
44,Data Scientist - Algorithms & Inference,4.2,San Francisco,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,110000,175000,142500.0,Nuna,California,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
45,Scientist,3.4,Allendale,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,0,0,52000,113000,82500.0,Edgewell Personal Care,New Jersey,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,Masters,Corporate
46,Senior Data Scientist,4.3,Chicago,1993,Company - Public,Real Estate,Real Estate,0,0,110000,150000,130000.0,Equity Residential,Illinois,28,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,Data Scientist,Senior,Masters,Corporate
48,Data Scientist,5.0,Washington,,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,1,150000,160000,155000.0,BPA Services,District of Columbia,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
49,Lead Data Scientist,3.7,Bellevue,1958,Company - Public,IT Services,Information Technology,0,0,158000,211000,184500.0,Visa Inc.,Washington,63,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Data Scientist,Senior,Not Specified,Corporate
50,Associate Data Analyst,3.1,Longmont,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,20000,39000,29500.0,Intrado,Colorado,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst,Not Specified,Masters,Corporate
51,Spectral Scientist/Engineer,4.7,Beavercreek,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,56000,117000,86500.0,Centauri,Ohio,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,Masters,Corporate
52,College Hire - Data Scientist - Open to December 2019 Graduates,3.7,Peoria,1925,Company - Public,Industrial Manufacturing,Manufacturing,0,0,63000,99000,81000.0,Caterpillar,Illinois,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
54,Data Scientist,3.8,Fort Lauderdale,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,0,0,68000,114000,91000.0,Zimmerman Advertising,Florida,37,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
55,"Data Scientist, Office of Data Science",3.3,Boston,1912,Company - Private,Insurance Carriers,Insurance,0,0,86000,143000,114500.0,Liberty Mutual Insurance,Massachusetts,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
56,Data Science Analyst,4.6,Huntsville,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,41000,95000,68000.0,"Torch Technologies, Inc.",Alabama,19,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
57,Data Scientist,3.7,Armonk,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,0,0,86000,144000,115000.0,Swiss Re,New York,158,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
58,Data Scientist,3.7,San Diego,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,0,0,80000,139000,109500.0,Northrop Grumman,California,82,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
59,Data Scientist,3.5,Albuquerque,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,56000,95000,75500.0,Sartorius,New Mexico,151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
60,Data Scientist,4.1,San Francisco,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,120000,189000,154500.0,Netskope,California,9,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,Data Scientist,Not Specified,PhD,Corporate
61,Data Scientist,4.7,Saint Louis,2016,Company - Private,IT Services,Information Technology,0,0,111000,176000,143500.0,1904labs,Missouri,5,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
