ID,Jobs_Name,Rating,Job_City,Company_Founded_Year,Type_Of_Ownership,Industry,Sector,Hourly_Salary,Employer_Provided_Salary,Salary_Lower,Salary_Upper,Salary_Avg,Company_Name,Job_State,Company_Age,Python,Spark,AWS,Excel,SQL,SAS,Keras,PyTorch,Scikit-learn,TensorFlow,Hadoop,Tableau,Power BI,Flink,MongoDB,Google Analytics,Job_Title_Sim,Seniority_Level,Employee_Degree,Ownership_Category
110,Lead Data Scientist,4.1,Silver Spring,2007,Company - Private,IT Services,Information Technology,0,0,102000,164000,133000.0,Redjack,Maryland,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Senior,Not Specified,Corporate
112,Data Scientist,3.8,New York,2012,Company - Private,Research & Development,Business Services,0,0,89000,153000,121000.0,7Park Data,New York,9,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
113,Data Scientist,4.7,Syracuse,1992,Company - Private,Security Services,Business Services,0,0,61000,110000,85500.0,Rapid Response Monitoring,New York,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
116,"Data Scientist, Rice University",4.3,Houston,2015,Subsidiary or Business Segment,Education Training Services,Education,0,0,65000,110000,87500.0,Trilogy Ed,Texas,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
117,Senior Data Scientist,4.2,Washington,1935,Company - Private,Consulting,Business Services,0,0,200000,275000,237500.0,Gallup,District of Columbia,86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Senior,Masters,Corporate
118,Data Engineer,3.9,Charlotte,1997,Company - Private,IT Services,Information Technology,0,0,68000,123000,95500.0,CapTech,North Carolina,24,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Data Engineer,Not Specified,Masters,Corporate
119,Senior Data Scientist,3.3,Southfield,1994,Company - Public,Transportation Equipment Manufacturing,Manufacturing,0,0,80000,129000,104500.0,American Axle & Manufacturing,Michigan,27,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,Data Scientist,Senior,Masters,Corporate
120,Financial Data Analyst,4.7,Matawan,2012,Company - Private,Computer Hardware & Software,Information Technology,0,0,41000,72000,56500.0,CentralReach,New Jersey,9,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Data Analyst,Not Specified,Not Specified,Corporate
122,Senior Data Analyst,4.3,Phoenix,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,39000,71000,55000.0,Integrate,Arizona,11,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Data Analyst,Senior,Not Specified,Corporate
123,Research Scientist,2.9,Omaha,1977,Hospital,Health Care Services & Hospitals,Health Care,0,0,38000,85000,61500.0,Boys Town Hospital,Nebraska,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,PhD,Healthcare
124,Data Scientist,4.5,San Francisco,2006,Company - Private,Computer Hardware & Software,Information Technology,0,0,121000,193000,157000.0,Demandbase,California,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
125,Data Engineer,3.4,Lyndhurst,2019,Company - Private,Internet,Information Technology,0,0,54000,102000,78000.0,Sapphire Digital,New Jersey,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Not Specified,Corporate
128,Data Scientist,3.2,San Francisco,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,102000,163000,132500.0,Formation,California,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
129,Data Engineer,4.0,San Francisco,1982,Company - Public,Computer Hardware & Software,Information Technology,0,0,76000,140000,108000.0,Autodesk,California,39,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Data Engineer,Not Specified,Masters,Corporate
130,Ag Data Scientist,4.6,Atlanta,1937,Company - Private,Farm Support Services,Agriculture & Forestry,0,0,60000,101000,80500.0,Beck's Hybrids,Indiana,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
131,Data Scientist,2.8,Rockville,2000,Company - Private,Health Care Services & Hospitals,Health Care,0,0,82000,133000,107500.0,DrFirst,Maryland,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
132,Data Engineer,4.7,Minneapolis,1996,Company - Private,Consulting,Business Services,0,0,65000,125000,95000.0,Object Partners,Minnesota,25,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,Data Engineer,Not Specified,Not Specified,Corporate
136,Data Scientist II,3.0,Los Angeles,1997,Nonprofit Organization,Health Care Services & Hospitals,Health Care,0,0,91000,148000,119500.0,L.A. Care Health Plan,California,24,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,Data Scientist,Not Specified,Masters,Nonprofit
137,Senior Data Engineer,3.2,Charlotte,2000,Company - Private,Advertising & Marketing,Business Services,0,0,95000,173000,134000.0,Red Ventures,North Carolina,21,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Senior,Not Specified,Corporate
138,Data Scientist,4.4,Cambridge,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,77000,124000,100500.0,Quick Base,Massachusetts,22,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
139,Data Scientist,3.5,Cincinnati,1878,Company - Public,TV Broadcast & Cable Networks,Media,0,0,80000,135000,107500.0,The E.W. Scripps Company,Ohio,143,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
140,Data Engineer,4.0,Washington,2015,Company - Private,Internet,Information Technology,0,0,85000,159000,122000.0,Upside Business Travel,District of Columbia,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Not Specified,Corporate
141,Data Engineer,4.3,Chicago,1993,Company - Public,Real Estate,Real Estate,0,0,80000,105000,92500.0,Equity Residential,Illinois,28,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,Data Engineer,Not Specified,Not Specified,Corporate
142,Data Analyst,2.3,Baltimore,1986,Company - Private,Research & Development,Business Services,0,0,43000,81000,62000.0,Synagro,Maryland,35,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Analyst,Not Specified,Not Specified,Corporate
143,Project Scientist,4.0,Alabaster,2000,Other Organization,Architectural & Engineering Services,Business Services,0,0,29000,50000,39500.0,Alliance Source Testing,Alabama,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,Not Specified,Other
145,Data Scientist,3.6,Santa Fe Springs,1966,Company - Private,Industrial Manufacturing,Manufacturing,0,0,82000,133000,107500.0,Accuride International,California,55,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,Data Scientist,Not Specified,Masters,Corporate
146,Data Analytics Manager,3.8,Kansas City,2017,Company - Private,Staffing & Outsourcing,Business Services,0,0,26000,55000,40500.0,Full Potential Solutions,Missouri,4,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
147,Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,3.7,Ashburn,1958,Company - Public,IT Services,Information Technology,0,0,61000,118000,89500.0,Visa Inc.,Virginia,63,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Data Scientist,Senior,Masters,Corporate
148,Data Scientist,4.4,Chicago,2008,Company - Private,Consulting,Business Services,0,0,60000,102000,81000.0,Maven Wave Partners,Illinois,13,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
150,Senior Data Scientist,4.0,Herndon,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,112000,182000,147000.0,Novetta,Virginia,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,Data Scientist,Senior,Not Specified,Corporate
152,Data Scientist,3.2,Fort Worth,1958,Company - Private,Brokerage Services,Finance,0,0,64000,106000,85000.0,"First Command Financial Services, Inc.",Texas,63,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
153,Associate Scientist,2.9,Valencia,1971,Company - Private,Consumer Products Manufacturing,Manufacturing,0,0,51000,112000,81500.0,Pharmavite,California,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,Masters,Corporate
154,"Scientist 2, QC Viral Vector",3.8,Novato,1997,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,113000,223000,168000.0,BioMarin Pharmaceutical,California,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,PhD,Corporate
156,Machine Learning Engineer,4.3,Aurora,2007,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,72000,129000,100500.0,Stratagem Group,Colorado,14,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,ML Engineer,Not Specified,Not Specified,Corporate
157,Data Scientist/ML Engineer,3.4,New York,1943,Company - Private,Consulting,Business Services,0,0,71000,123000,97000.0,PA Consulting,New York,78,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,Data Scientist,Not Specified,Masters,Corporate
161,Data Engineer,5.0,Tampa,2017,Company - Private,IT Services,Information Technology,0,1,120000,145000,132500.0,Gridiron IT,Florida,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Not Specified,Corporate
162,Data Engineer,4.3,Chicago,2008,Company - Private,Computer Hardware & Software,Information Technology,0,0,80000,120000,100000.0,Productive Edge,Illinois,13,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Not Specified,Corporate
164,Sr. Data Scientist,3.7,Denver,2011,Company - Private,Travel Agencies,Travel & Tourism,0,0,80000,130000,105000.0,Evolve Vacation Rental,Colorado,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Senior,Masters,Corporate
166,Data Engineer 4 - Contract,4.2,Riverton,,Nonprofit Organization,Religious Organizations,Non-Profit,0,0,59000,115000,87000.0,The Church of Jesus Christ of Latter-day Saints,Utah,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Masters,Nonprofit
167,Data Analyst - Asset Management,4.3,San Francisco,2013,Company - Private,Real Estate,Real Estate,0,0,71000,136000,103500.0,Maximus Real Estate Partners,California,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Analyst,Not Specified,Not Specified,Corporate
168,Senior Research Scientist - Embedded System Development for DevOps,2.6,Pittsburgh,1984,College / University,Colleges & Universities,Education,0,0,81000,167000,124000.0,Software Engineering Institute,Pennsylvania,37,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,Masters,Education
169,Data Scientist - Bioinformatics,3.8,Richland,1965,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,49000,85000,67000.0,PNNL,Washington,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,PhD,Government
170,Data Engineer,3.9,Washington,2000,Company - Private,IT Services,Information Technology,0,0,60000,114000,87000.0,AVANADE,District of Columbia,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Masters,Corporate
171,Customer Data Scientist/Sales Engineer,4.3,Chicago,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,71000,204000,137500.0,h2o.ai,Illinois,10,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,Data Scientist,Not Specified,PhD,Corporate
172,Lead Data Scientist,3.8,Cincinnati,1987,Company - Private,Advertising & Marketing,Business Services,0,0,75000,125000,100000.0,PatientPoint,Ohio,34,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,Data Scientist,Senior,Masters,Corporate
174,MongoDB Data Engineer II,3.8,Chattanooga,1945,Nonprofit Organization,Insurance Carriers,Insurance,0,0,77000,136000,106500.0,BlueCross BlueShield of Tennessee,Tennessee,76,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,Data Engineer,Not Specified,Not Specified,Nonprofit
175,Senior Data Scientist Statistics,3.8,Richland,1965,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,74000,123000,98500.0,PNNL,Washington,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Senior,PhD,Government
177,Senior Data Analyst,4.8,Clearwater,2010,Company - Private,Security Services,Business Services,0,0,44000,78000,61000.0,KnowBe4,Florida,11,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Analyst,Senior,Masters,Corporate
178,Senior Spark Engineer (Data Science),4.4,Indianapolis,2008,Company - Private,Consulting,Business Services,0,0,65000,148000,106500.0,KSM Consulting,Indiana,13,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,Data Scientist,Senior,Not Specified,Corporate
179,Data Engineer,3.9,Cambridge,2005,Company - Private,Internet,Information Technology,0,0,59000,110000,84500.0,Cogo Labs,Massachusetts,16,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Not Specified,Corporate
180,BI & Platform Analytics Manager,3.4,Ewing,1846,Company - Public,Consumer Products Manufacturing,Manufacturing,0,0,85000,134000,109500.0,Church & Dwight,New Jersey,175,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,Data Scientist,Not Specified,Masters,Corporate
181,Lead Data Scientist,3.6,Boston,1851,Company - Private,Insurance Carriers,Insurance,0,0,124000,204000,164000.0,MassMutual,Massachusetts,170,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,Data Scientist,Senior,PhD,Corporate
182,"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",3.9,South San Francisco,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,131000,207000,169000.0,Genentech,California,45,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,Senior,PhD,Corporate
183,Senior Data Scientist,3.8,Cupertino,1996,Company - Public,Telecommunications Services,Telecommunications,0,0,110000,174000,142000.0,Juniper Networks,California,25,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,Data Scientist,Senior,PhD,Corporate
185,Pricipal Scientist Molecular and cellular biologist,3.7,Boston,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,52000,101000,76500.0,Takeda Pharmaceuticals,Massachusetts,240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,PhD,Corporate
187,"Data Scientist (Actuary, FSA or ASA)",3.8,Frederick,1981,Company - Private,Insurance Carriers,Insurance,0,0,81000,133000,107000.0,Legal & General America,Maryland,40,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
188,Staff Data Scientist,3.5,San Jose,1970,Company - Public,Computer Hardware & Software,Information Technology,0,0,132000,211000,171500.0,Western Digital,California,51,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,Not Specified,Masters,Corporate
192,Data Engineer 5 - Contract (Remote),4.2,Riverton,,Nonprofit Organization,Religious Organizations,Non-Profit,0,0,74000,140000,107000.0,The Church of Jesus Christ of Latter-day Saints,Utah,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Masters,Nonprofit
193,Senior Scientist - Neuroscience,3.5,Marlborough,2010,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,100000,190000,145000.0,Sunovion,Massachusetts,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,PhD,Corporate
194,Senior Data Analyst,2.9,Herndon,1993,Nonprofit Organization,Colleges & Universities,Education,0,0,43000,80000,61500.0,National Student Clearinghouse,Virginia,28,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,Data Analyst,Senior,Masters,Nonprofit
197,Medical Lab Scientist,3.6,West Reading,2017,Nonprofit Organization,Health Care Services & Hospitals,Health Care,1,0,35000,49000,42000.0,Tower Health,Pennsylvania,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,Not Specified,Nonprofit
198,"Risk and Analytics IT, Data Scientist",2.7,Madison,1951,Government,Investment Banking & Asset Management,Finance,0,0,91000,149000,120000.0,State of Wisconsin Investment Board,Wisconsin,70,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Data Scientist,Not Specified,Not Specified,Government
199,"Scientist, Analytical Development",4.4,Cambridge,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,42000,82000,62000.0,Rubius Therapeutics,Massachusetts,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,PhD,Corporate
200,Senior Data Scientist,4.0,San Francisco,1982,Company - Public,Computer Hardware & Software,Information Technology,0,0,116000,185000,150500.0,Autodesk,California,39,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,Data Scientist,Senior,PhD,Corporate
201,Analytics Manager,4.3,Dearborn,1967,Company - Private,Advertising & Marketing,Business Services,0,0,59000,116000,87500.0,OneMagnify,Michigan,54,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
202,Data Engineer,4.2,Winter Park,2006,Company - Public,Advertising & Marketing,Business Services,0,0,48000,95000,71500.0,IZEA,Florida,15,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,Data Engineer,Not Specified,Not Specified,Corporate
203,Digital Marketing & ECommerce Data Analyst,3.6,San Rafael,2006,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,0,0,31000,72000,51500.0,Vionic Group,California,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Data Analyst,Not Specified,Not Specified,Corporate
204,Sr. Scientist - Digital & Image Analysis/Computational Pathology,3.7,San Diego,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,105000,198000,151500.0,Takeda Pharmaceuticals,California,240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,Masters,Corporate
205,Senior Data Analyst,2.8,Hamilton,2014,Company - Private,IT Services,Information Technology,0,0,55000,100000,77500.0,Dodge Data & Analytics,New Jersey,7,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Data Analyst,Senior,Not Specified,Corporate
206,Principal Scientist - Immunologist,3.7,Boston,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,98000,182000,140000.0,Takeda Pharmaceuticals,Massachusetts,240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,Masters,Corporate
207,Senior Data Scientist,3.3,Woodbridge,1982,Company - Private,Insurance Carriers,Insurance,0,0,73000,124000,98500.0,Plymouth Rock Assurance,New Jersey,39,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Senior,Masters,Corporate
208,Principal Data Scientist with over 10 years experience,0.0,San Francisco,2017,Company - Private,IT Services,Information Technology,0,1,200000,250000,225000.0,CA-One Tech Clou,California,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,Senior,Not Specified,Corporate
209,MED TECH/LAB SCIENTIST - LABORATORY,3.6,Lewes,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,1,0,43000,70000,56500.0,Beebe Healthcare,Delaware,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,Not Specified,Nonprofit
210,"Sr. Scientist, Quantitative Translational Sciences",3.7,Boston,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,117000,206000,161500.0,Takeda Pharmaceuticals,Massachusetts,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,Masters,Corporate
211,Sr. Data Scientist II,3.4,New York,1948,Company - Public,Insurance Carriers,Insurance,0,0,111000,183000,147000.0,Argo Group US,New York,73,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,Data Scientist,Senior,Not Specified,Corporate
212,Excel / VBA / sql_ Data Analyst,4.1,Springfield,1961,Company - Private,Energy,"Oil, Gas, Energy & Utilities",0,0,44000,78000,61000.0,Associated Electric Cooperative,Missouri,60,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Analyst,Not Specified,Masters,Corporate
213,Machine Learning Research Scientist,2.6,Pittsburgh,1984,College / University,Colleges & Universities,Education,0,0,81000,159000,120000.0,Software Engineering Institute,Pennsylvania,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ML Engineer,Not Specified,PhD,Education
215,"VP, Data Science",3.2,Phoenix,2008,Company - Public,Lending,Finance,0,0,83000,166000,124500.0,PennyMac,Arizona,13,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,Data Scientist,Not Specified,Not Specified,Corporate
216,Senior Data Scientist,3.9,Burbank,2009,Company - Private,Financial Analytics & Research,Finance,0,0,114000,182000,148000.0,Zest AI,California,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Senior,Masters,Corporate
217,Radar Data Analyst,4.7,Huntsville,1996,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,42000,76000,59000.0,DECISIVE ANALYTICS Corporation,Alabama,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst,Not Specified,Not Specified,Corporate
221,PL Actuarial-Lead Data Scientist,3.7,Worcester,1852,Company - Public,Insurance Carriers,Insurance,0,0,114000,179000,146500.0,The Hanover Insurance Group,Massachusetts,169,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Senior,Masters,Corporate
223,PV Scientist,2.9,Newton,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,60000,123000,91500.0,Karyopharm Therapeutics Inc.,Massachusetts,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,PhD,Corporate
224,Senior Data & Machine Learning Scientist,3.0,Chicago,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,100000,166000,133000.0,Tempus Labs,Illinois,6,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,ML Engineer,Senior,PhD,Corporate
225,Principal Data Scientist (Computational Chemistry),4.7,Salt Lake City,2013,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,108000,173000,140500.0,Recursion Pharmaceuticals,Utah,8,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,Data Scientist,Senior,Not Specified,Corporate
226,Data Engineer,3.7,Lafayette,,Company - Private,Computer Hardware & Software,Information Technology,0,0,48000,93000,70500.0,P2 Energy Solutions,Louisiana,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Not Specified,Corporate
228,"Principal Scientist, Chemistry & Immunology",3.3,Rochester,2014,Hospital,Health Care Services & Hospitals,Health Care,0,0,54000,115000,84500.0,Rochester Regional Health,New York,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,PhD,Healthcare
229,Software Engineer - Data Visualization,4.0,Annapolis Junction,2002,Company - Private,Computer Hardware & Software,Information Technology,0,0,60000,127000,93500.0,ClearEdge,Maryland,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Not Specified,Not Specified,Masters,Corporate
230,"Scientist/Senior Scientist, Autoimmune",4.4,Cambridge,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,90000,179000,134500.0,Rubius Therapeutics,Massachusetts,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,PhD,Corporate
233,Staff Machine Learning Engineer,3.9,San Francisco,2007,Company - Private,Internet,Information Technology,0,0,138000,224000,181000.0,Tapjoy,California,14,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,ML Engineer,Not Specified,Not Specified,Corporate
234,"Principal Scientist, Hematology",3.3,Rochester,2014,Hospital,Health Care Services & Hospitals,Health Care,0,0,54000,115000,84500.0,Rochester Regional Health,New York,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,PhD,Healthcare
235,Lead Data Engineer,4.1,Mountain View,2010,Company - Private,Internet,Information Technology,0,0,190000,220000,205000.0,Credit Sesame,California,11,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Senior,Not Specified,Corporate
239,Marketing Data Analyst,3.6,Highland,1986,Company - Private,Gambling,"Arts, Entertainment & Recreation",0,0,35000,62000,48500.0,San Manuel Casino,California,35,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,Data Analyst,Not Specified,Masters,Corporate
240,Medical Laboratory Scientist,4.0,Burleson,1977,Hospital,Health Care Services & Hospitals,Health Care,1,0,37000,52000,44500.0,Texas Health Huguley Hospital,Texas,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,Not Specified,Healthcare
242,R&D Specialist/ Food Scientist,2.4,Hoopeston,,Company - Private,Food & Beverage Manufacturing,Manufacturing,0,0,39000,66000,52500.0,Teasdale Latin Foods,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,Not Specified,Corporate
243,Senior Research Scientist-Machine Learning,2.6,Pittsburgh,1984,College / University,Colleges & Universities,Education,0,0,81000,167000,124000.0,Software Engineering Institute,Pennsylvania,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ML Engineer,Senior,PhD,Education
245,Analytics Manager - Data Mart,3.5,Scotts Valley,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,0,0,42000,86000,64000.0,Central California Alliance for Health,California,25,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,Not Specified,Not Specified,Nonprofit
246,Sr. Data Engineer - Contract-to-Hire (Java),3.0,Knoxville,1958,Company - Private,Gas Stations,Retail,0,0,69000,127000,98000.0,Pilot Flying J Travel Centers LLC,Tennessee,63,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Senior,Masters,Corporate
247,MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,3.6,Millville,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,1,0,43000,70000,56500.0,Beebe Healthcare,Delaware,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,Not Specified,Nonprofit
248,Food Scientist - Developer,3.3,Milwaukee,1964,Company - Private,Food & Beverage Manufacturing,Manufacturing,0,0,40000,68000,54000.0,Palermo's Pizza,Wisconsin,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,Not Specified,Corporate
250,Staff Scientist-Downstream Process Development,2.7,Rockville,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,49000,113000,81000.0,Advanced BioScience Laboratories,Maryland,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Not Specified,PhD,Corporate
251,Sr. Data Engineer,3.4,Chicago,2005,Company - Public,Transportation Management,Transportation & Logistics,0,0,75000,140000,107500.0,Echo Global Logistics,Illinois,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Senior,Not Specified,Corporate
